/************************************************************/;;;;;;;;;;;;;
/*******  Extract on Mon Oct 02 10:30:19 CEST 2006  ****************/;;;;;;;;;;;;;
/************************************************************/;;;;;;;;;;;;;


id;CustomerName;CustomerAddress;idState;id2;RegTime;RegisterTime;Somme1;Somme2;Somme3;Somme4;Somme5;Somme6;Somme7
31;Arthur M. Feildberg Galleries;1220 Heather Lane;37;24;13/05/1992 04:22;1974-07-24 20:48:16.000;82248;70587.6544;23914;189;83220.6732;3.681065E+6;1492008.0
32;Cotton Thumb Ltd.;1882 St. Johns;13;10;24/12/1996 20:40;1970-01-26 18:41:36.000;50345;17088.4070;22217;56;87364.3592;494976.0;385828680.0
33;Childress Child Day Care;1912 Old Briar Lane #2;22;33;21/03/2000 03:35;2006-08-12 21:01:36.000;2768.;97359.0055;29187;16;22832.6066;6.367456E+6;703946750.0
34;Foy Aviation;511 Hill;20;49;11/07/2002 07:02;2005-12-21 12:14:56.000;46631;26404.9352;27860;186;51170.4080;9.680832E+6;39602032.0
35;Nyman Interior Design;2505 Allison ct.;47;45;02/01/1970 11:22;2006-01-08 18:40:00.000;38474;90848.6540;16248;170;15279.5110;5.30001E+6;20214700.0
36;Got It All Electronics Supply;629 Kincaid Ave.;22;28;29/04/1980 13:40;1993-10-22 15:26:40.000;29440;53380.6126;6774;19;78994.5961;4.909784E+6;73395370.0
37;PGS Associates;726 White Oaks Ave.;26;12;17/10/2000 03:53;1974-04-13 15:46:40.000;94198;32720.7556;28635;216;53324.9000;7.631901E+6;712822536.0
38;Yale Remins Temp Agency;1912 Old Briar Lane #2;49;6;27/08/1985 04:07;1999-12-19 10:40:00.000;81314;91092.3975;12609;162;63035.9120;7.761165E+6;381147870.0
39;Mergenthaler Inc.;673 Calais Drive;45;25;20/10/1971 10:47;1983-08-07 00:20:00.000;30558;73456.6412;6456;160;71532.4872;1.379286E+6;794386908.0
40;Elm Place Business Supplies;505 N. Frances St.;16;37;02/02/2006 15:48;2003-01-28 15:21:36.000;33428;86538.1125;28020;57;17304.9488;9.257462E+6;31944507.0
41;Parties Galore Golf Course;77 Blackhawk Rd;26;13;06/02/1996 09:47;1989-05-11 04:20:00.000;4122.;28231.0160;21858;100;36988.4496;3.68201E+6;479666868.0
42;Glenn Oaks Office Supplies;2600 Winsor Mall;38;22;29/02/1996 13:20;1986-03-12 16:01:36.000;94411;70933.0546;7951;58;4580.6360;1.8573E+6;151371558.0
43;Metro Appliance Service;2936 Arlington Ave.;30;20;14/01/1974 20:28;2000-05-29 05:26:40.000;54665;69885.8828;17009;88;39328.5570;2.496384E+6;312169639.0
44;Parkway Auto Body;726 White Oaks Ave.;14;47;11/05/1993 14:35;2000-06-15 21:13:20.000;94320;69425.8882;26865;75;2633.5998;4.240743E+6;550539930.0
45;Quad City Cleaning;218 Oakridge Ave.;48;22;23/07/1977 18:35;1970-12-02 23:08:16.000;43450;8688.6032;3075;192;18776.5852;505567.0;321814388.0
46;Hi-Land Art & Frame;3478 Bryn Mawr St.;12;26;07/12/2006 04:55;1982-10-12 20:46:40.000;74696;76875.3584;17574;134;87940.1877;6.213438E+6;654904440.0
47;Brand Y Creative Services;14836 W. River Oaks Dr.;35;49;23/10/1977 05:02;1994-10-17 14:20:00.000;97171;70842.4880;24639;165;1058.5686;9.450066E+6;71347968.0
48;George Lee Antiques;632 Roger Williams;46;45;03/08/2007 19:55;1992-11-28 14:13:20.000;65765;70580.8838;24524;210;75892.2974;9.157129E+6;163370221.0
49;Johnson, Erico & Co CPA's;5518 Madison St.;17;16;26/10/2002 03:40;1975-02-12 08:54:56.000;89561;99258.1102;22770;90;39982.0628;9.625065E+6;530251040.0
50;Trapezoid Studios;1831 Beverly Place #9D;0;26;21/08/1971 06:20;2000-09-18 19:28:16.000;54770;72460.9378;1420;44;93456.3574;6.353012E+6;325637158.0
51;American Deli Workers Union;618 Sheriden rd.;4;38;04/09/1974 21:53;1977-02-22 22:53:20.000;11072;9563.7552;6606;117;97564.4948;948564.0;24258438.0
52;Schmidt Denists;844 Spruce St.;47;30;24/02/2003 18:27;2005-07-05 06:46:40.000;4500.;3520.5600;19467;207;91200.5680;5.517676E+6;492102432.0
53;Crossroads Construction, Inc.;2267 Anderson Lane;5;14;04/06/1989 11:40;1977-10-24 17:53:20.000;46277;63818.8902;4148;168;44652.0720;2.066375E+6;121993008.0
54;Jay's Cabinet Company;2024 St.Johns Ave.;48;48;2006-02-29 06:42:00;2001-01-10 07:46:40.000;61386;12933.4726;18005;20;74511.8324;4.245194E+6;224525808.0
55;Highland Heights Gift Shop;1799 Rosemary Way;28;12;01/07/2006 00:08;1972-12-25 02:53:20.000;91420;11980.6011;26016;64;53160.2544;7.0154E+6;444984848.0
56;Glenn Oaks Office Supplies;1859 Green Bay Rd.;7;35;02/05/1999 00:07;1987-02-23 17:33:20.000;1225.;51734.4826;15942;31;31176.7705;2.3258E+6;57374224.0
57;Lee Stairworks and Carpentry,;2644 Princeton Ln.;41;46;24/12/1977 16:02;1992-04-15 09:41:36.000;49648;9700.7312;5060;124;28880.2916;9.45748E+6;223366064.0
58;Lambert & Locke Legal Services;662 Lyons Circle;45;17;15/09/1986 21:27;2002-11-22 04:26:40.000;16920;31584.4395;8442;100;21300.6250;221384.0;417065010.0
59;Nitelites Party Rental;12 Walker Ave.;37;15;16/09/2004 21:42;2006-01-15 00:40:00.000;87570;87992.7496;15825;52;61870.6773;8.337676E+6;177170721.0
60;Vanity Town;1701 W. Mellody Rd.;32;4;21/09/1982 04:35;1975-08-14 06:48:16.000;16120;60499.9252;2894;20;40058.9568;9.84183E+6;17866356.0
61;DBN Bank;456 Grossman Ln.;35;47;02/10/2003 08:08;1992-04-28 23:26:40.000;64493;10448.7948;2832;134;65000.8114;1.897394E+6;35938500.0
62;BBQ Smith's Tex Mex;1101 Deerfield Place;9;5;24/08/2000 03:00;1978-10-05 10:21:36.000;36616;7362.8436;6876;130;96035.3809;5.973992E+6;486869474.0
63;Pivot Point College;1547 Knolwood Rd.;9;48;04/09/2000 22:08;1986-02-21 20:00:00.000;1190.;23856.0000;7851;127;81080.4008;3.762811E+6;602058072.0
64;Highland Woods City Hall;430 Oakland Drive;9;28;12/10/2006 21:40;1978-04-23 06:13:20.000;10443;43494.6997;23883;74;71220.4271;4.742304E+6;866446680.0
65;Mail Boxes Et. Al.;1859 Green Bay Rd.;30;7;17/02/2001 08:53;1990-10-16 07:53:20.000;16029;78020.4434;23937;147;92647.1530;4.048327E+6;847190278.0
66;Smith & Wesson Militia;1750 Lily Court;27;41;04/11/1978 20:40;1975-12-04 12:14:56.000;66326;6676.0347;1020;108;76840.4973;4.63515E+6;537696632.0
67;Acturial Enterprises Ltd.;1486 Oakwood;32;45;16/07/2006 17:28;2007-12-18 17:46:40.000;90900;41916.7440;7304;68;45322.0223;4.280696E+6;6119993.0
68;Resnick DDS;726 White Oaks Ave.;6;37;25/04/1990 17:13;2006-08-12 13:26:40.000;75566;16911.3445;21129;41;88024.6480;6.767183E+6;168257880.0
69;Air Mexico;313 Grove Ave.;6;32;05/11/2003 21:22;1983-06-05 12:20:00.000;63097;44552.0683;23236;161;84502.3436;5.69125E+6;213740065.0
70;janice Mann Accounting Service;3181 Barkwood Ct.;28;35;09/02/1989 04:00;1983-04-20 15:20:00.000;38310;64944.0328;8445;32;1123.5012;5.528216E+6;10465830.0
71;Pete's Auto Repair;1436 Waverly Rd.;32;9;03/04/2001 10:07;2004-12-03 18:53:20.000;56790;13196.3456;12085;251;95713.5329;5.84686E+6;688726626.0
72;Michael Montgomery Hair Saloon;1077 Court Ave.;9;9;19/10/1972 08:22;2000-10-07 00:20:00.000;81313;98985.2492;3243;57;93304.9192;5.121163E+6;452744712.0
73;Gordon & Son Brockerage Ltd.;313 Grove Ave.;49;9;27/05/1996 02:20;2000-12-29 19:34:56.000;75558;91936.6018;19039;32;89115.2160;1.72333E+6;382756916.0
74;Bee Line Publishing;3344 Beachwood Ln.;46;30;18/02/2006 12:55;2001-09-01 03:53:20.000;33150;51721.2638;30987;20;85723.8120;1.32096E+6;535257064.0
75;Green Bay Travel Services;1795 Lake Cook Rd.;28;27;16/12/2006 22:42;2001-10-15 11:01:36.000;39632;99143.6368;27265;249;27632.1532;2.61249E+6;367514213.0
76;Caranisco Homes;310 Walker Ave.;39;32;04/02/1994 22:13;1987-06-15 13:53:20.000;37045;68925.7296;27810;25;32170.7814;5.56424E+6;11952480.0
77;Doll House Rock;844 Spruce St.;49;6;10/11/1978 06:28;2000-10-28 15:13:20.000;8592.;72500.9600;11709;24;79130.0390;7.845584E+6;313468554.0
78;Moveit Motercycle Service;965 Marion Place Apt. 65C;13;6;21/08/1978 16:07;1978-08-03 22:21:36.000;10620;51680.9919;21311;248;68570.1802;478368.0;419577249.0
79;Funnyface Amusement Games;511 Hill;12;28;27/03/2005 00:13;1982-12-17 19:06:40.000;8903.;24036.3954;12498;112;31256.3616;2.8672E+6;299264335.0
80;Glenwood Credit Union;2870 Skokie Rd.;21;32;08/03/1980 10:40;1972-11-04 12:14:56.000;14095;28588.6032;10188;235;77710.8419;2.252191E+6;313598138.0
81;Glassman & Stone;654 Walnut Rd.;19;9;03/02/2007 10:53;1990-02-11 18:13:20.000;21600;43866.2185;22273;213;73111.9975;5.785256E+6;418653144.0
82;Yale Remins Temp Agency;628 Orwenstensia;24;49;10/11/1972 16:13;1977-10-05 20:21:36.000;74600;12040.7126;1630;40;13408.6718;9.757591E+6;207116706.0
83;Dean Barnett Furniture Repair;2922 Twin Oaks Drive;18;46;25/03/2001 19:33;2006-03-23 10:14:56.000;95750;28880.0560;14746;160;87595.8236;3.224676E+6;23369544.0
84;Eva Galler Galleries Inc.;1101 Deerfield Place;8;28;11/03/2000 11:33;2003-03-12 11:08:16.000;33873;28716.9212;19066;156;12424.0357;5.0864E+6;18197200.0
85;Shaggy's Grooming Services;1270 Linden Ave.;6;39;12/01/1977 06:53;1987-01-29 14:01:36.000;52760;50992.5684;8247;8;59504.0595;1.041932E+6;751150708.0
86;Bako Delicatessen;628 Orwenstensia;19;49;27/03/1971 05:33;1994-10-27 13:13:20.000;90980;2568.5854;7299;222;46517.9952;9.57214E+6;369271500.0
87;Cradle the Call;1155 Ridgewood Drive;28;13;23/09/2005 10:22;2006-11-23 20:14:56.000;8250.;24448.5160;20875;68;75080.0128;4.383864E+6;335932911.0
88;Truck-X Muffler Repair;45 South Deer Creek Drive;19;12;19/02/1999 04:53;1986-03-08 10:00:00.000;44304;47679.0904;9579;112;93718.8167;6.108574E+6;642111030.0
89;Deer Lake Inn;1 Twin Oaks Place;22;21;11/10/1978 14:20;2006-06-26 19:13:20.000;51284;54796.6944;29037;177;36876.5400;6.77958E+6;133776792.0
90;Crosstracks Car Wash;505 N. Frances St.;33;19;05/02/2005 22:27;1994-10-08 08:06:40.000;6878.;13900.9230;31958;92;51235.9492;2.46905E+6;868552601.0
91;Masterlands Cleaning;313 Grove Ave.;34;24;18/03/1987 21:07;1994-08-11 18:48:16.000;14680;50366.5850;3362;237;8784.6769;6.706584E+6;55487360.0
92;Shaggy's Grooming Services;3160 Summit Ave.;7;18;17/11/2000 06:27;2004-06-26 02:06:40.000;67920;58720.5376;10637;24;79570.7870;3.370039E+6;324088520.0
93;North West Gas Co.;445 Park Ave.;30;8;12/04/1994 06:08;1998-09-17 03:40:00.000;24287;55640.9436;22092;48;20165.4554;826271.0;162933822.0
94;Car Suite Cleaners;120 high St.;6;6;02/06/1974 00:07;1996-05-14 19:53:20.000;63010;3559.9738;22934;79;25880.2310;7.609792E+6;158851856.0
95;Cutter Lawn Mower Repair;929 Brittany Ave.;2;19;26/06/2000 21:27;2004-09-12 06:34:56.000;12956;26816.6184;28504;225;82930.9792;5.934842E+6;130296972.0
96;Doerner's Awnings and Canopies;616 Cobblestone Cir.;26;28;04/12/2001 13:33;1993-05-03 04:33:20.000;90760;19776.1655;28951;186;2000.2540;4.437734E+6;23078245.0
97;Yale Remins Temp Agency;245 Oakridge Ave.;19;19;22/06/2005 04:08;1987-11-18 09:48:16.000;80543;92848.9882;6060;144;28090.2552;5.55654E+6;267833756.0
98;Nyman Interior Design;1486 Oakwood;39;22;05/07/2000 08:33;1975-01-13 15:46:40.000;86886;19550.2368;3135;172;24068.9324;9.47426E+6;209016015.0
99;Shaggy's Grooming Services;1077 Court Ave.;29;33;19/06/1970 08:08;2001-01-23 18:00:00.000;9468.;8296.3344;2109;160;32872.8217;973728.0;494499264.0
100;Johnson, Erico & Co CPA's;2632 Prarie Ln.;44;34;26/07/2006 11:15;1996-03-11 16:00:00.000;89968;17116.1734;3868;60;17820.6635;8.796564E+6;129663132.0
101;Bill's Dive Shop;872 Virginia Rd.;7;7;23/06/1980 10:20;2001-05-20 07:28:16.000;62330;39227.7540;6045;217;63603.7776;9.243187E+6;357743904.0
102;Bill's Dive Shop;245 Oakridge Ave.;34;30;28/07/1989 12:08;2002-02-01 23:34:56.000;42925;72792.6976;813;56;73960.1561;9.556429E+6;229636776.0
103;Air Mexico;12 Skokie Valley Rd.;31;6;06/03/1992 05:33;1987-05-31 23:53:20.000;62522;72148.9742;25398;84;31080.2264;9.601779E+6;48787821.0
104;Metro Appliance Service;2220 Grant Blvd.;39;2;30/10/1977 22:53;1994-04-02 15:20:00.000;25998;24696.3833;1715;36;15450.1466;6.886228E+6;24039358.0
105;Caranisco Homes;750 Homewood Ave.;16;26;20/08/2000 04:33;2000-03-22 07:21:36.000;88628;30739.0813;30849;244;97687.2924;9.118564E+6;452870647.0
106;Caranisco Homes;1860 Parkside Ln.;40;19;14/02/2001 02:02;1989-09-22 21:40:00.000;82676;46776.9915;9123;210;65183.5492;3.586125E+6;263031300.0
107;Camp Oconomowoc;4763 Blackhawk Rd.;25;39;19/09/2005 23:02;1985-04-10 05:46:40.000;45600;73440.9275;29788;26;84548.0050;7.797892E+6;538354726.0
108;Air India;135 Lakewood place;9;29;07/06/2000 16:20;2000-12-22 10:53:20.000;3045.;13650.7006;13723;228;68087.3024;7.993969E+6;284389490.0
109;Lickmen Restoration;1912 Old Briar Lane #2;23;44;22/11/2000 06:27;2003-09-27 13:54:56.000;14608;27300.3582;18861;220;57750.1964;3.951721E+6;94106808.0
110;K L Consulting;445 Park Ave.;43;7;27/01/1994 19:47;2001-06-26 21:53:20.000;77500;42420.2392;20229;6;47144.4802;3.554095E+6;110917812.0
111;DBN Bank;242 Ashland Ave.;20;34;20/12/2000 08:42;2000-01-22 12:00:00.000;13990;24968.5648;17337;120;59770.0229;1.601042E+6;305988000.0
112;Hart Corporation;1777 balsamic Ave.;41;31;22/11/1998 02:00;1994-10-30 23:33:20.000;58058;1610.5680;10738;150;42190.8579;8.423239E+6;10044800.0
113;Hoffman Printing Center;430 Oakland Drive;44;39;12/02/2005 09:20;2004-02-09 22:54:56.000;6296.;62114.6930;8679;200;22062.8448;163111.0;966920368.0
114;Pasifico Inc.;1233 Arbor Rd.;45;16;09/04/1972 00:28;2000-09-01 13:01:36.000;5631.;73285.6654;12279;251;17842.8804;6.147245E+6;63553038.0
115;Auto Interior Carpeting Compan;844 Spruce St.;48;40;13/04/2001 09:00;2006-04-25 13:14:56.000;49944;34638.4350;30609;21;62280.2660;1.53442E+6;134337924.0
116;Trapezoid Studios;54 Lakeview Terrace;6;25;11/01/1972 06:40;1975-10-25 10:06:40.000;52216;48645.6910;31062;181;8581.1766;9.230092E+6;101951462.0
117;Pac Builders;1270 Linden Ave.;11;9;30/04/1974 14:20;1975-08-20 10:46:40.000;99607;90376.3818;31341;125;82251.5530;5.43222E+6;25353220.0
118;Dapper's Antiques;2024 St.Johns Ave.;19;23;16/02/2007 04:27;2006-02-07 04:13:20.000;14295;34862.7030;9630;120;23064.0182;2.876054E+6;45645786.0
119;Tub's Furniture Store;1547 Vine;31;43;17/01/1990 18:13;2000-07-30 06:20:00.000;18240;25882.4093;839;86;30548.2700;2.125882E+6;475708744.0
120;Kermit the Pet Shop;1235 Easton Rd.;3;20;13/11/1992 04:02;1997-01-15 03:46:40.000;95802;18212.1840;27660;114;53855.9742;5.236111E+6;364577355.0
121;First National Bank of Ottowa;465 Stratford Rd.;5;41;07/07/1972 13:27;2003-09-23 01:54:56.000;67344;140.8432;26256;40;8538.3782;3.542467E+6;239819472.0
122;Terrinni & Son Auto and Truck;1859 Green Bay Rd.;12;44;11/12/1970 10:40;1986-12-26 05:46:40.000;12928;28625.1218;28013;252;137.0525;8.997896E+6;24518048.0
123;Esmarda Chemical Manufacturers;10 Marquette Rd.;4;45;23/11/2005 01:35;2002-09-09 11:28:16.000;88025;48491.3736;4269;180;8550.5165;9.611504E+6;530654949.0
124;First National Bank of Ottowa;2632 Prarie Ln.;44;48;31/12/1970 02:53;2002-06-26 16:48:16.000;24196;14840.3157;24735;141;97306.2808;5.951048E+6;790897283.0
125;Facelift Kitchen and Bath;3100 Trailer Way;47;6;15/01/1993 12:13;1992-02-14 09:33:20.000;15220;91232.5356;1620;208;13730.6320;455074.0;785986541.0
126;Nina's Snow Plowing;302-A Crestwood Village Rd.;35;11;13/08/2004 13:27;2005-05-25 01:53:20.000;71856;73505.9520;8511;240;75718.3975;8.267854E+6;152693530.0
127;Flinn Mosquito and Pest Contro;1859 Green Bay Rd.;43;19;18/06/1994 09:15;2005-02-19 08:00:00.000;87452;65216.8000;25343;249;11352.6890;5.526288E+6;523057215.0
128;Resnick DDS;302-A Crestwood Village Rd.;25;31;25/09/1974 17:53;1982-05-03 19:53:20.000;23098;13011.1353;30368;234;70640.1748;9.02518E+6;6257272.0
129;Air Mexico;1535 Knollwood Drive;14;3;23/09/1974 10:20;1983-08-10 11:40:00.000;85200;78053.9692;25765;136;38512.4096;2.708496E+6;765876168.0
130;Gordon & Son Brockerage Ltd.;899 Harvard Ct;31;5;24/10/2006 15:27;2002-10-09 22:46:40.000;70403;46721.0000;2969;198;23056.3664;2.484485E+6;979324190.0
131;Griffith Paving and Sealcoatin;2922 Twin Oaks Drive;22;12;22/11/1971 23:20;1970-11-07 21:06:40.000;38164;54746.0524;21174;58;24294.7610;7.16608E+6;4883268.0
132;AAA Daniels Antiques;600 Central Ave;15;4;30/12/1983 19:20;2000-02-19 08:13:20.000;9868.;87040.7075;16442;200;15001.1970;2.933888E+6;24205095.0
133;Smith Communications Inc.;750 Homewood Ave.;31;44;04/06/1989 11:40;2003-10-10 19:40:00.000;53001;60328.1145;5583;172;7117.0785;754390.0;232021927.0
134;Myers Chocolates and Confectio;2644 Princeton Ln.;21;47;20/08/1983 05:00;2006-10-15 12:48:16.000;95735;30155.8229;3857;144;68762.0968;1.940598E+6;320798612.0
135;Masterlands Cleaning;2224 Sherman Rd.;26;35;10/11/2004 09:35;2006-03-12 05:33:20.000;41009;92184.8600;9170;139;78246.3118;742284.0;620912614.0
136;Futoons Cartoons Emporium;465 Stratford Rd.;25;43;08/03/1971 06:00;1982-03-09 05:33:20.000;14133;22700.9968;213;31;16215.1588;1.236108E+6;131611554.0
137;Block Boats and Lures;1858 Balsam Way;47;25;06/11/2007 16:42;1993-06-16 04:06:40.000;6582.;27622.6080;17220;194;57520.2540;9.215116E+6;134838000.0
138;Vanity Town;302-A Crestwood Village Rd.;7;14;20/02/1975 20:27;1983-03-24 04:14:56.000;46712;25546.0548;28521;103;60650.3422;12157.0;19792696.0
139;Morton Roofing and Siding;1658 Second St.;33;31;12/12/1974 17:07;1985-09-03 02:46:40.000;27386;40890.5276;10545;184;18282.3892;818374.0;115121190.0
140;Caranisco Homes;3344 Beachwood Ln.;15;22;11/09/1993 07:02;1987-08-20 13:13:20.000;11552;61800.5160;11611;140;11811.8754;4.62117E+6;145173681.0
141;DBN Bank;2600 Winsor Mall;20;15;27/11/1993 11:33;1993-08-16 01:13:20.000;70626;93936.8580;5208;241;64855.1942;7.357192E+6;351915956.0
142;Hart Corporation;1658 Second St.;10;31;10/10/2003 16:33;1989-05-30 03:53:20.000;82624;66993.3696;1140;32;32368.4998;7.19957E+6;614617815.0
143;Nel Video Productions;1715 Chicago Ave.;20;21;16/01/1970 17:47;1977-09-14 16:46:40.000;31760;42975.8249;15258;224;58476.1440;7.128331E+6;48936678.0
144;Maintence Services of Maine;1658 Second St.;35;26;16/12/1989 16:02;1992-05-14 17:13:20.000;2253.;67904.2224;27801;48;15624.9954;2.576056E+6;55321014.0
145;Woodworks Co.;445 Park Ave.;11;25;05/07/2001 07:55;1983-09-01 22:33:20.000;2818.;11610.3016;2796;186;74434.5328;6.86575E+6;265629740.0
146;Glenn Oaks Office Supplies;746 Judson Place;6;47;23/11/1989 12:28;2000-08-20 07:00:00.000;16480;746.0806;1078;142;33455.5145;5.76888E+6;160830678.0
147;Funnyface Amusement Games;2220 Grant Blvd.;7;7;04/07/1986 23:27;2004-08-25 06:33:20.000;36104;84428.2112;13802;120;18674.2844;8.32439E+6;122505495.0
148;Highland Lanes;224  Highwood Ave.;35;33;11/09/2001 07:13;2002-02-15 20:54:56.000;95664;67889.7128;26662;233;22584.6741;9.3609E+6;336810775.0
149;Marcy Elaine Bakery;1750 Lily Court;45;15;03/11/1982 19:33;2001-06-08 23:41:36.000;11496;88953.1544;723;109;160.3919;595084.0;14419568.0
150;janice Mann Accounting Service;3181 Barkwood Ct.;11;20;25/08/1999 17:53;1970-02-03 02:26:40.000;42674;59793.3440;13219;137;83355.0460;8.886928E+6;783050625.0
151;Lickmen Restoration;1875 Roger Williams Ave.;9;10;17/01/1980 23:33;1996-10-12 07:00:00.000;63304;14949.6536;28513;35;43600.2749;4.931565E+6;36557832.0
152;Moveit Motercycle Service;969 Saxony Drive;41;20;16/12/2006 20:13;1985-10-11 07:26:40.000;52835;23305.0100;22282;75;51095.3520;3.01184E+6;345510245.0
153;Cradle the Call;785 Highland place;1;35;19/05/2005 23:40;1993-04-11 12:21:36.000;97244;64408.5250;3027;21;12150.2317;2.045676E+6;162891886.0
154;Kapp Camera and Video;1619 Judson Ave. Apt #34B;37;11;18/10/1989 16:22;1983-08-28 15:01:36.000;29748;75167.2808;18093;63;99669.6776;8.044248E+6;79824173.0
